name,SMILES,PubChem
5-Methylchrysene,CC1=CC2=CC=CC=C2C3=C1C4=CC=CC=C4C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/19427
"7,8-Benzfluoranthene",C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC5=C4C3=CC=C5,https://pubchem.ncbi.nlm.nih.gov/compound/9152
"2,3-Dimethylnaphthalene",CC1=CC2=CC=CC=C2C=C1C,https://pubchem.ncbi.nlm.nih.gov/compound/11386
3-Ethyltoluene,CCC1=CC=CC(=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/12100
"1,2-Dimethylnaphthalene",CC1=C(C2=CC=CC=C2C=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/11317
Benzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/2336
"3-Ethyl-2,2-dimethylpentane",CCC(CC)C(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28026
Ethylbenzene,CCC1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/7500
Benz(a)anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,https://pubchem.ncbi.nlm.nih.gov/compound/5954
"2,5-Dimethylheptane",CCC(C)CCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16662
3-Ethyl-2-methylheptane,CCCCC(CC)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/139803
"2,6-Dimethylheptane",CC(C)CCCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14069
"2,3,4-Trimethylhexane",CCC(C)C(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/13533
3-Ethyloctane,CCCCCC(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/79985
"2,2,3,3-Tetramethylpentane",CCC(C)(C)C(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/92723
m-Xylene,CC1=CC(=CC=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/7929
3-Ethyl-3-methylheptane,CCCCC(C)(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/140213
4-Ethyloctane,CCCCC(CC)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/85925
"3-Ethyl-2,4-dimethylpentane",CCC(C(C)C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14040
"DIBENZO(a,l)PYRENE",C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,https://pubchem.ncbi.nlm.nih.gov/compound/9119
Methylcholanthrene,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,https://pubchem.ncbi.nlm.nih.gov/compound/1674
"3,3-Diethylpentane",CCC(CC)(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/14020
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/19041
"3,3-Dimethyloctane",CCCCCC(C)(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/138117
"Heptane, 2,3,5-trimethyl-",CCC(C)CC(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/140667
1-Methylnaphthalene,CC1=CC=CC2=CC=CC=C12,https://pubchem.ncbi.nlm.nih.gov/compound/7002
